	Lemme	Number of occurrence
663	jeudi	34.265874131760484
664	troisième	34.265874131760484
665	pie	33.893418978154386
666	mien	33.893418978154386
667	chèvre	33.893418978154386
668	confiture	33.893418978154386
669	bonnet	33.893418978154386
670	dommage	33.893418978154386
671	zizi	33.893418978154386
672	risque	33.893418978154386
673	pelle	33.520963824548296
674	chevalier	33.1485086709422
675	cabane	33.1485086709422
676	pluie	33.1485086709422
677	trésor	33.1485086709422
678	salle	33.1485086709422
679	mélange	33.1485086709422
680	kirikou	32.77605351733611
681	plaisir	32.77605351733611
682	chameau	32.77605351733611
683	femme	32.77605351733611
684	couronne	32.77605351733611
685	parapluie	32.77605351733611
686	bas	32.77605351733611
687	mignon	32.77605351733611
688	sourire	32.40359836373002
689	argent	32.40359836373002
690	poney	32.40359836373002
691	four	32.40359836373002
692	moyen	32.03114321012393
693	stylo	32.03114321012393
694	mademoiselle	32.03114321012393
695	vide	32.03114321012393
696	genre	32.03114321012393
697	numéro	31.658688056517835
698	gommette	31.286232902911745
699	babar	31.286232902911745
700	champignon	31.286232902911745
701	salon	31.286232902911745
702	tôt	31.286232902911745
703	moitié	31.286232902911745
704	p	30.913777749305652
705	lou	30.913777749305652
706	n	30.913777749305652
707	citron	30.913777749305652
708	coucher	30.913777749305652
709	meilleur	30.913777749305652
710	bureau	30.913777749305652
711	dépêche	30.913777749305652
712	rire	30.913777749305652
713	week–end	30.54132259569956
714	balançoire	30.54132259569956
715	médicament	30.54132259569956
716	aile	30.54132259569956
717	semblant	30.54132259569956
718	tarte	30.168867442093465
719	douze	30.168867442093465
720	r	30.168867442093465
721	chiffre	30.168867442093465
722	pioche	30.168867442093465
723	éponge	30.168867442093465
724	figure	30.168867442093465
725	miette	30.168867442093465
726	mauve	29.796412288487375
727	étage	29.796412288487375
728	homme	29.796412288487375
729	tas	29.796412288487375
730	nané	29.423957134881285
731	elena	29.423957134881285
732	tatouage	29.423957134881285
733	canaille	29.423957134881285
734	repas	29.423957134881285
735	anglais	29.423957134881285
736	lundi	29.423957134881285
737	poire	29.423957134881285
738	farine	29.423957134881285
739	pingouin	29.423957134881285
740	trompe	29.423957134881285
741	cause	29.051501981275187
742	vêtement	29.051501981275187
743	casserole	29.051501981275187
744	raté	29.051501981275187
745	goutte	29.051501981275187
746	gratte	29.051501981275187
747	plaque	29.051501981275187
748	brosse	29.051501981275187
749	minnie	28.679046827669097
750	juillet	28.679046827669097
751	demi	28.679046827669097
752	abeille	28.679046827669097
753	pardon	28.679046827669097
754	voisin	28.679046827669097
755	carnaval	28.306591674063004
756	but	28.306591674063004
757	aspirateur	28.306591674063004
758	françois	28.306591674063004
759	volant	28.306591674063004
760	rentrée	28.306591674063004
761	fourmi	28.306591674063004
762	bonjour	27.934136520456914
763	grimace	27.934136520456914
764	minou	27.934136520456914
765	ange	27.561681366850824
766	bâton	27.561681366850824
767	balai	27.561681366850824
768	peigne	27.561681366850824
769	manche	27.561681366850824
770	paris	27.561681366850824
771	mimi	27.561681366850824
772	i	27.561681366850824
773	kelsang	27.189226213244726
774	colère	27.189226213244726
775	l	27.189226213244726
776	miroir	27.189226213244726
777	pis	27.189226213244726
778	saucisse	27.189226213244726
779	hiver	27.189226213244726
780	couvercle	27.189226213244726
781	spaghetti	26.816771059638636
782	ginette	26.816771059638636
783	contre	26.816771059638636
784	caisse	26.816771059638636
785	pigeon	26.816771059638636
786	boucle_d'or	26.444315906032543
787	barrette	26.444315906032543
788	cirque	26.444315906032543
789	panda	26.444315906032543
790	rigole	26.444315906032543
791	force	26.444315906032543
792	sortie	26.444315906032543
793	jeanne	26.071860752426453
794	winnie	26.071860752426453
795	pois	26.071860752426453
796	placard	26.071860752426453
797	cinéma	26.071860752426453
798	guitare	26.071860752426453
799	scotch	26.071860752426453
800	yona	25.69940559882036
801	légo	25.69940559882036
802	règle	25.69940559882036
803	framboise	25.69940559882036
804	valérie	25.69940559882036
805	travers	25.69940559882036
806	groupe	25.69940559882036
807	déjeuner	25.69940559882036
808	espèce	25.69940559882036
809	porculus	25.32695044521427
810	tania	25.32695044521427
811	vendredi	25.32695044521427
812	prince	25.32695044521427
813	riz	25.32695044521427
814	casque	25.32695044521427
815	messieur	25.32695044521427
816	différence	25.32695044521427
817	paille	25.32695044521427
818	ménage	25.32695044521427
819	crabe	25.32695044521427
820	échelle	25.32695044521427
821	sophie	25.32695044521427
822	christian	25.32695044521427
823	ben	25.32695044521427
824	appareil	24.954495291608175
825	coupé	24.954495291608175
826	fantôme	24.582040138002082
827	violon	24.582040138002082
828	ligne	24.582040138002082
829	bus	24.582040138002082
830	arrêté	24.582040138002082
831	bosse	24.582040138002082
832	fusée	24.582040138002082
833	haricot	24.582040138002082
834	bambi	24.582040138002082
835	louis	24.582040138002082
836	corps	24.582040138002082
837	télévision	24.582040138002082
838	sirène	24.582040138002082
839	france	24.209584984395992
840	goût	24.209584984395992
841	fée	24.209584984395992
842	tablier	24.209584984395992
843	moteur	24.209584984395992
844	rideau	24.209584984395992
845	trottinette	23.837129830789898
846	wagon	23.837129830789898
847	saucisson	23.837129830789898
848	épée	23.837129830789898
849	lieu	23.837129830789898
850	olivier	23.464674677183808
851	boucle	23.464674677183808
852	flèche	23.464674677183808
853	lever	23.464674677183808
854	sel	23.464674677183808
855	moustache	23.464674677183808
856	brique	23.464674677183808
857	collant	23.464674677183808
858	prise	23.464674677183808
859	cerise	23.464674677183808
860	arrière	23.464674677183808
861	nicolas	23.464674677183808
862	veste	23.464674677183808
863	bernadette	23.092219523577715
864	euro	23.092219523577715
865	bavette	23.092219523577715
866	quatorze	23.092219523577715
867	tennis	23.092219523577715
868	récréation	23.092219523577715
869	clara	23.092219523577715
870	raquette	23.092219523577715
871	voyage	23.092219523577715
872	vague	23.092219523577715
873	sirop	23.092219523577715
874	gêne	23.092219523577715
875	chatouille	22.71976436997162
876	ascenseur	22.71976436997162
877	gilet	22.71976436997162
878	face	22.71976436997162
879	baguette	22.71976436997162
880	pâques	22.71976436997162
881	rêve	22.71976436997162
882	vaisselle	22.71976436997162
883	timide	22.71976436997162
884	petit_ours	22.34730921636553
885	marie_ange	22.34730921636553
886	zou	22.34730921636553
887	spiderman	22.34730921636553
888	pinocchio	22.34730921636553
889	dragon	22.34730921636553
890	cigarette	22.34730921636553
891	rivière	22.34730921636553
892	parquet	22.34730921636553
893	miel	22.34730921636553
894	niveau	22.34730921636553
895	céréale	21.974854062759437
896	mardi	21.974854062759437
897	soixante	21.974854062759437
898	cloche	21.974854062759437
899	locomotive	21.974854062759437
900	pistolet	21.974854062759437
901	simple	21.974854062759437
902	corde	21.974854062759437
903	dauphin	21.974854062759437
904	peluche	21.974854062759437
905	entrée	21.974854062759437
906	armoire	21.974854062759437
907	policier	21.602398909153347
908	dora	21.602398909153347
909	journal	21.602398909153347
910	poussier	21.602398909153347
911	ficelle	21.602398909153347
912	caillou	21.602398909153347
913	drapeau	21.602398909153347
914	nu	21.602398909153347
915	jeune	21.602398909153347
916	u	21.602398909153347
917	voleur	21.229943755547257
918	tonton_christophe	21.229943755547257
919	coiffeur	21.229943755547257
920	crêpe	21.229943755547257
921	outil	21.229943755547257
922	h	21.229943755547257
923	visage	21.229943755547257
924	coquillage	21.229943755547257
925	pays	21.229943755547257
926	barbe	21.229943755547257
927	police	20.85748860194116
928	appétit	20.85748860194116
929	trompette	20.85748860194116
930	fabrique	20.85748860194116
931	marraine	20.85748860194116
932	restaurant	20.85748860194116
933	car	20.85748860194116
934	museau	20.85748860194116
935	lacet	20.85748860194116
936	fessée	20.85748860194116
937	chef	20.85748860194116
938	saint_nicolas	20.48503344833507
939	cacao	20.48503344833507
940	tunnel	20.48503344833507
941	dromadaire	20.48503344833507
942	ninette	20.48503344833507
943	étiquette	20.48503344833507
944	caresse	20.48503344833507
945	sèche	20.48503344833507
946	machin	20.48503344833507
947	voie	20.48503344833507
948	construction	20.48503344833507
949	john	20.112578294728976
950	boudin	20.112578294728976
951	christelle	20.112578294728976
952	graine	20.112578294728976
953	français	20.112578294728976
954	gris	20.112578294728976
955	sommeil	20.112578294728976
956	médecin	20.112578294728976
957	short	20.112578294728976
958	attaché	20.112578294728976
959	cerf	20.112578294728976
960	bouée	20.112578294728976
961	abîme	20.112578294728976
962	quarante	19.740123141122886
963	martin	19.740123141122886
964	suisse	19.740123141122886
965	masque	19.740123141122886
966	métro	19.740123141122886
967	rail	19.740123141122886
968	plume	19.740123141122886
969	moulin	19.740123141122886
970	robinet	19.740123141122886
971	matthieu	19.367667987516793
972	elmer	19.367667987516793
973	faux	19.367667987516793
974	craie	19.367667987516793
975	malin	19.367667987516793
976	modèle	19.367667987516793
977	bille	19.367667987516793
978	champ	19.367667987516793
979	exprès	19.367667987516793
980	jules	18.9952128339107
981	rod	18.9952128339107
982	cendrillon	18.9952128339107
983	b	18.9952128339107
984	fumée	18.9952128339107
985	pansement	18.9952128339107
986	schtroumpf	18.9952128339107
987	tache	18.9952128339107
988	véro	18.62275768030461
989	courgette	18.62275768030461
990	ger	18.62275768030461
991	fer	18.62275768030461
992	drap	18.62275768030461
993	bracelet	18.62275768030461
994	mauvais	18.62275768030461
995	instrument	18.62275768030461
996	nanée	18.250302526698515
997	popi	18.250302526698515
998	rémi	18.250302526698515
999	v	18.250302526698515
